Название,Композитор,Год создания,Автор текста,Музыкальный жанр,ID музыкального жанра,Тема,Ключевые слова
Песня про Буденного,Новиков Анатолий Григорьевич,1938,Исаковский Михаил Васильевич,Романсы и песни,6.1,Полководцы,С.М. Буденный
Свершилось! Марш космонавтов,Новиков Анатолий Григорьевич,1961,Каменецкий Юрий,Романсы и песни,6.1,Космос,
О Москве,Новиков Анатолий Григорьевич,1947,Каменецкий Юрий,Романсы и песни,6.1,Города,Москва
Боевые подруги,Новиков Анатолий Григорьевич,1941,Кондырев Лев ,Романсы и песни,6.1,Великая Отечественая Война,медсестры
Грозой овеянные сны,Новиков Анатолий Григорьевич,,Кубарев,Романсы и песни,6.1,Города,Белгород
"Расскажи ты, ночь сырая…",Новиков Анатолий Григорьевич,1938,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Советско-японский конфликт (1938-1939),Хасан
Хасанская ночь,Новиков Анатолий Григорьевич,1938,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Советско-японский конфликт (1938-1939),Хасан
"По морям, по океанам",Новиков Анатолий Григорьевич,1940,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Вооруженные силы,ВМФ; оборонная
Песня молодых бойцов,Новиков Анатолий Григорьевич,1937,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Вооруженные силы,рекрутская
Победа!,Новиков Анатолий Григорьевич,1945,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Великая Отечественая Война,День Победы
Наш товарищ комиссар,Новиков Анатолий Григорьевич,1941,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Великая Отечественая Война,комиссары
Пала темная ночь,Новиков Анатолий Григорьевич,,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,,
Хасанская сюита,Новиков Анатолий Григорьевич,1938,Лебедев-Кумач Василий Иванович; Сикорская Татьяна Сергеевна; Гусев Виктор Михайлович,Романсы и песни,6.1,Советско-японский конфликт (1938-1939),Хасан
Красной армии слава!,Новиков Анатолий Григорьевич,1943,Лугин Александр,Кантаты,4.1,Великая Отечественая Война,оборонная
Песня о Ворошилове,Новиков Анатолий Григорьевич,1939,Лугин Александр,Романсы и песни,6.1,Полководцы,К.Е. Ворошилов
Реквием,Новиков Анатолий Григорьевич,,Лугин Александр,Романсы и песни,6.1,,
Учил Суворов,Новиков Анатолий Григорьевич,1944,Левашов,Романсы и песни,6.1,Великая Отечественая Война,
Чей-то сын,Новиков Анатолий Григорьевич,,Мацюк,Романсы и песни,6.1,,
Мать Олега Кошевого,Новиков Анатолий Григорьевич,,Матусовский Михаил,Романсы и песни,6.1,Великая Отечественая Война,Молодая гвардия
4 песни 14-й гвардейской кавалерийской Мозырьской краснознаменной дивизии,Новиков Анатолий Григорьевич,1944,Ошанин Лев,Романсы и песни,6.1,Великая Отечественая Война,
Родина моя,Новиков Анатолий Григорьевич,1946,Ошанин Лев,Романсы и песни,6.1,Родина,Россия
Хороша земля!,Новиков Анатолий Григорьевич,1951,Ошанин Лев,Романсы и песни,6.1,Родина,Россия
Баллада о русских мальчишках,Новиков Анатолий Григорьевич,1962,Ошанин Лев,Романсы и песни,6.1,Гражданская война (1918-1922),
Почему?,Новиков Анатолий Григорьевич,1945,Ошанин Лев,Романсы и песни,6.1,Великая Отечественая Война,возвращение после войны
На подступах к Москве,Новиков Анатолий Григорьевич,1975,Ошанин Лев,Романсы и песни,6.1,Великая Отечественая Война,Оборона Москвы
На Берлин ,Новиков Анатолий Григорьевич,1944,Ошанин Лев,Романсы и песни,6.1,Великая Отечественая Война,Освобождение Европы
"Дороги («Эх, дороги, пыль да туман»)",Новиков Анатолий Григорьевич,1945,Ошанин Лев,Романсы и песни,6.1,Великая Отечественая Война,пехота
Песня русского сердца,Новиков Анатолий Григорьевич,1971,Ошанин Лев,Романсы и песни,6.1,,
"Скажи, сынок",Новиков Анатолий Григорьевич,,Ошанин Лев,Романсы и песни,6.1,,
Навеки родная земля,Новиков Анатолий Григорьевич,,Трахов,Романсы и песни,6.1,,
В поход!,Новиков Анатолий Григорьевич,1941,Прокофьев Александр Андреевич,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Песня-пляска Краснофлотская,Новиков Анатолий Григорьевич,1934,Родионов Ярослав,Романсы и песни,6.1,Вооруженные силы,ВМФ
Баллада о русской женщине,Новиков Анатолий Григорьевич,1954,Рублев Георгий,Романсы и песни,6.1,Родина,русский народ
У переправы,Новиков Анатолий Григорьевич,1942,Рудерман Михаил,Романсы и песни,6.1,Великая Отечественая Война,оборонная
По-над Доном,Новиков Анатолий Григорьевич,1944,Рудерман Михаил,Романсы и песни,6.1,Великая Отечественая Война,
Отчизну береги!,Новиков Анатолий Григорьевич,1953,Сальников Андрей,Романсы и песни,6.1,Вооруженные силы,боевая
Жди меня,Новиков Анатолий Григорьевич,1942,Симонов Константин,Романсы и песни,6.1,Великая Отечественая Война,оборонная лирическая
"Шашка моя, шашечка",Новиков Анатолий Григорьевич,1943,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,казачья
Пять пуль,Новиков Анатолий Григорьевич,1942,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Казачья - круговая,Новиков Анатолий Григорьевич,,Софронов Анатолий,Романсы и песни,6.1,,
Краснотал,Новиков Анатолий Григорьевич,,Софронов Анатолий,Романсы и песни,6.1,,
Колхозная оборонная,Новиков Анатолий Григорьевич,1939,Сурков Алексей,Романсы и песни,6.1,,
Василий Теркин,Новиков Анатолий Григорьевич,1971,Твардовский Александр Трифонович,Оперетты,1.2,Великая Отечественая Война,
Поклонись пехоте,Новиков Анатолий Григорьевич,1940,Твардовский Александр Трифонович,Романсы и песни,6.1,Вооруженные силы,пехота
Спор о генералах,Новиков Анатолий Григорьевич,1942,Финк Илья,Романсы и песни,6.1,Великая Отечественая Война,
Анатолий Крохалев,Новиков Анатолий Григорьевич,1941,Флёров Николай,Романсы и песни,6.1,Великая Отечественая Война,ГСС Крохалев
Фронтовая,Новиков Анатолий Григорьевич,1943,Френкель Илья,Романсы и песни,6.1,Великая Отечественая Война,боевая
Где-то от заставы за версту,Новиков Анатолий Григорьевич,,Харитонов Владимир,Романсы и песни,6.1,Вооруженные силы,пограничники
Марш лётчиков,Новиков Анатолий Григорьевич,1950,Харитонов Владимир,Романсы и песни,6.1,Вооруженные силы,ВВС
"Ой да ты, соловушка",Новиков Анатолий Григорьевич,1956,Харитонов Владимир,Романсы и песни,6.1,Вооруженные силы,походная
"Никто не забыт, ничто не забыто",Новиков Анатолий Григорьевич,1970,Харитонов Владимир,Романсы и песни,6.1,Великая Отечественая Война,память
Вот как в жизни солдатской бывает,Новиков Анатолий Григорьевич,1959,Харитонов Владимир,Романсы и песни,6.1,,
На ветру дождевом (Пограничная),Новиков Анатолий Григорьевич,,Харитонов Владимир,Романсы и песни,6.1,,
Огневые годы пройдены,Новиков Анатолий Григорьевич,1958,Харитонов Владимир,Романсы и песни,6.1,,
С тобой остается,Новиков Анатолий Григорьевич,,Харитонов Владимир,Романсы и песни,6.1,,
Так вот в жизни солдатской бывает,Новиков Анатолий Григорьевич,,Харитонов Владимир,Романсы и песни,6.1,,
На переднем крае,Новиков Анатолий Григорьевич,,Шаховской Борис,Романсы и песни,6.1,,
Отъезд партизан,Новиков Анатолий Григорьевич,1936,Шведов Яков,Романсы и песни,6.1,Гражданская война (1918-1922),
Смуглянка,Новиков Анатолий Григорьевич,1944,Шведов Яков,Романсы и песни,6.1,Великая Отечественая Война,лирическая
Партизанская думка,Новиков Анатолий Григорьевич,1943,Шведов Яков,Романсы и песни,6.1,Великая Отечественая Война,
Первая солдатская весна,Новиков Анатолий Григорьевич,1966,Михайлов,Романсы и песни,6.1,Вооруженные силы,рекрутская
Константин Заслонов,Новиков Анатолий Григорьевич,1954,,Сюиты,2.3,Великая Отечественая Война,К.С. Заслонов
Солдатские напевы,Новиков Анатолий Григорьевич,1947,,Прочие произведения для духового оркестра,8.3,,
Левша,Новиков Анатолий Григорьевич,1957,,Оперетты,1.2,,
Илья Муромец,Новиков Анатолий Григорьевич,1920,,Оперы,1.1,Древняя Русь,богатыри
"Россия, любимая земля!",Новиков Андрей Порфирьевич,1944,Лебедев-Кумач Василий Иванович,Романсы и песни,6.1,Родина,Россия
Сибирь,Новиков Андрей Порфирьевич,1941,Пухначев Василий,Романсы и песни,6.1,Регионы,Сибирь
Мщение,Новиков Андрей Порфирьевич,1943,Пухначев Василий,Кантаты,4.1,Великая Отечественая Война,
Советская Хакасская,Новиков Андрей Порфирьевич,1947,,Сюиты,2.3,Регионы,Хакассия
Песня сибирских полков,Новиков Андрей Порфирьевич,1941 - 1945,,Романсы и песни,6.1,Великая Отечественая Война,
Сибирская строевая,Новиков Андрей Порфирьевич,1941 - 1945,,Романсы и песни,6.1,Великая Отечественая Война,
"Встречай, дорогая",Новиков Андрей Порфирьевич,1941 - 1945,,Романсы и песни,6.1,Великая Отечественая Война,
Моей Родине,Новиков Андрей Порфирьевич,1968,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Люблю людей России,Новоселова Людмила Алексеевна,1975,Сикорский,Хоры,4.3,Родина,русский народ
Память,Новоселова Людмила Алексеевна,1973,Ошанин Лев,Романсы и песни,6.1,,
Сверхсрочник,Новоселова Людмила Алексеевна,1973,Туркин Владимир,Романсы и песни,6.1,,
Чувашские зарисовки,Новоселова Людмила Алексеевна,1979,,Сочинения для фортепиано,5.2,Регионы,Чувашия
Последний бой,Ножкин Михаил Иванович,1968,Ножкин Михаил,Романсы и песни,6.1,Великая Отечественая Война,Битва за Берлин
Песня о Щорсе,Нолинский (Скрябин) Николай Михайлович,,Шведов Яков,Романсы и песни,6.1,Гражданская война (1918-1922),Н.А. Щорс
Моя родина,Нолинский (Скрябин) Николай Михайлович,1948,,Симфонии,2.2,Родина,Россия
Песня летчиков-истребителей,Нолинский (Скрябин) Николай Михайлович,,,Романсы и песни,6.1,Вооруженные силы,ВВС
На опушке леса,Нолинский (Скрябин) Николай Михайлович,,,Романсы и песни,6.1,,
Песня смелых,Нолинский (Скрябин) Николай Михайлович,,,Романсы и песни,6.1,,
Случай в походе,Нолинский (Скрябин) Николай Михайлович,,,Романсы и песни,6.1,,
Солдатское письмо,Нолинский (Скрябин) Николай Михайлович,,,Романсы и песни,6.1,,
Черноморская весна,Нолинский (Скрябин) Николай Михайлович,,,Романсы и песни,6.1,,
Город на Неве (Клятва/Солдатская дума/Два витязя/Сказ о городе-герое/Слава),Носов Георгий Никифорович,1944,Решетов; Тогатов; Глейзаров Николай,Кантаты,4.1,Великая Отечественая Война,Оборона Ленинграда
Песня о винтовке,Носов Георгий Никифорович,1943,Титович,Романсы и песни,6.1,Великая Отечественая Война,
"Это твой город, парень",Носов Георгий Никифорович,,Авраменко И.,Романсы и песни,6.1,Города,Ленинград; Санкт-Петербург
Ленинградская лирическая,Носов Георгий Никифорович,1942,Тогатов,Романсы и песни,6.1,Великая Отечественая Война,Оборона Ленинграда
На улицах московских,Носов Георгий Никифорович,1956,Пагирев,Романсы и песни,6.1,Города,Москва
Песня балтийца,Носов Георгий Никифорович,1942,Глейзаров Николай,Романсы и песни,6.1,Великая Отечественая Война,Оборона Ленинграда
Ленинградская походная,Носов Георгий Никифорович,1943,Глейзаров Николай,Романсы и песни,6.1,Великая Отечественая Война,Оборона Ленинграда
Песня о Щорсе,Носов Георгий Никифорович,1937,Голодный Михаил Семенович,Романсы и песни,6.1,Гражданская война (1918-1922),Н.А. Щорс
На запад,Носов Георгий Никифорович,1943,Дудин Михаил Александрович,Романсы и песни,6.1,Великая Отечественая Война,
Марш летчиков,Носов Георгий Никифорович,,Гвоздев Е.,Романсы и песни,6.1,Вооруженные силы,ВВС
Партизанская песня,Носов Георгий Никифорович,1943,Виноградов И.,Романсы и песни,6.1,Великая Отечественая Война,партизанская
"Запоем-ка, партизаны",Носов Георгий Никифорович,1943,Виноградов И.,Романсы и песни,6.1,Великая Отечественая Война,партизанская
"Ликуй, Ленинград",Носов Георгий Никифорович,1943,Васильева Л.,Романсы и песни,6.1,Великая Отечественая Война,Оборона Ленинграда
Спят города,Носов Георгий Никифорович,,Хаустов,Романсы и песни,6.1,,
Шел я по жизни,Носов Георгий Никифорович,,Хаустов,Романсы и песни,6.1,,
Марш снайперов,Носов Георгий Никифорович,1941,Прокофьев Александр Андреевич,Романсы и песни,6.1,Великая Отечественая Война,
Герои-танкисты,Носов Георгий Никифорович,1945,Прокофьев Александр Андреевич,Романсы и песни,6.1,Великая Отечественая Война,
Сибирский вальс,Носов Георгий Никифорович,1954,Пухначев Василий,Романсы и песни,6.1,Регионы,Алтай
На родном Звалесье,Носов Георгий Никифорович,,Беликов С.,Романсы и песни,6.1,,
Память сердца,Носов Георгий Никифорович,,Вольский С.,Романсы и песни,6.1,,
Ленинградские ребята,Носов Георгий Никифорович,1948,Фогельсон Соломон,Романсы и песни,6.1,Великая Отечественая Война,военные строители
Жди меня,Носов Георгий Никифорович,1942,Симонов Константин,Романсы и песни,6.1,Великая Отечественая Война,оборонная лирическая
За мир и свободу,Носов Георгий Никифорович,,Фогельсон Соломон,Романсы и песни,6.1,,
О Родине песню пою,Носов Георгий Никифорович,1957,Чуркин Александров,Романсы и песни,6.1,Родина,Россия
Алтайская весна,Носов Георгий Никифорович,,Чуркин Александров,Романсы и песни,6.1,Регионы,Алтай
Песня о Ленинграде («Алеет зорька молодая»),Носов Георгий Никифорович,1948,Чуркин Александров,Романсы и песни,6.1,Города,Ленинград; Санкт-Петербург
Праздничный Ленинград,Носов Георгий Никифорович,,Чуркин Александров,Романсы и песни,6.1,Города,Ленинград; Санкт-Петербург
Солдатская песня,Носов Георгий Никифорович,,Чуркин Александров,Романсы и песни,6.1,Вооруженные силы,патриотическая
Далеко-далеко,Носов Георгий Никифорович,1947,Чуркин Александров,Романсы и песни,6.1,Вооруженные силы,пограничники
Парень кудрявый,Носов Георгий Никифорович,1938,Чуркин Александров,Романсы и песни,6.1,Вооруженные силы,рекрутская
Плясовая,Носов Георгий Никифорович,1949,Чуркин Александров,Романсы и песни,6.1,Вооруженные силы,
За Дунаем синим,Носов Георгий Никифорович,,Чуркин Александров,Романсы и песни,6.1,Великая Отечественая Война,Освобождение Венгрии
Сестра,Носов Георгий Никифорович,1941,Чуркин Александров,Романсы и песни,6.1,Великая Отечественая Война,
Песня народного гнева,Носов Георгий Никифорович,1941,Чуркин Александров,Романсы и песни,6.1,Великая Отечественая Война,
За Родину!,Носов Георгий Никифорович,1939,Чуркин Александров,Романсы и песни,6.1,,
Родимый край,Носов Георгий Никифорович,1948,Чуркин Александров,Романсы и песни,6.1,,
За горами за карпатскими,Носов Георгий Никифорович,1950,Чуркин Александров,Романсы и песни,6.1,,
Отслужу - к тебе приеду,Носов Георгий Никифорович,1953,Чуркин Александров,Романсы и песни,6.1,,
Родине,Носов Георгий Никифорович,1953,Чуркин Александров,Романсы и песни,6.1,,
Россия,Носов Георгий Никифорович,1945,Чуркин Александров,Хоры,4.3,,
Песня о Родине,Носов Георгий Никифорович,,Шошин,Романсы и песни,6.1,Родина,Россия
Могила неизвестного солдата,Носов Георгий Никифорович,1935,Вайнерт Э.,Романсы и песни,6.1,Великая Отечественая Война,память
Песня ленинградских партизан,Носов Георгий Никифорович,,,Романсы и песни,6.1,Великая Отечественая Война,Оборона Ленинграда
Клятва,Носов Георгий Никифорович,1941 - 1945,,Романсы и песни,6.1,Великая Отечественая Война,
Сказ о городе-герое,Носов Георгий Никифорович,1941 - 1945,,Романсы и песни,6.1,Великая Отечественая Война,
Надежда Дурова,Носов Иван Алексеевич,1942,,Оперы,1.1,Отечественная война (1812),Н.А. Дурова
Баллада о погибшем воине,Носырев Михаил Иосифович,1958,Носырева; Злотников,Кантаты,4.1,Великая Отечественая Война,
Новгородская сюита,Объедов Юрий Борисович,1977,,Сочинения для камерного ансамбля,5.1,Города,Новгород
Удмуртские картинки,Объедов Юрий Борисович,1953,,Сочинения для фортепиано,5.2,Регионы,Удмуртия
Саранск зажигает огни,Овчинников В.Ф.,,,Романсы и песни,6.1,,
Город над Мокшей-рекой,Овчинников В.Ф.,,,Романсы и песни,6.1,,
Ромашки,Овчинников В.Ф.,,,Романсы и песни,6.1,,
Гимны отечеству,Овчинников Вячеслав Александрович,1974,Васильева Л.,Оратории,4.2,Родина,Россия
Сергий Радонежский,Овчинников Вячеслав Александрович,1958 - 1985,,Оратории,4.2,Древняя Русь,Сергий Радонежский
Русский праздник,Овчинников Вячеслав Александрович,1960,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Родина,Россия
Юрий Гагарин,Овчинников Вячеслав Александрович,1974,,Прочие вокально-симфонические произведения,7.3,Космос,Ю.А. Гагарин
Багратион,Овчинников Вячеслав Александрович,,,Музыка к кинофильмам,10.2,Полководцы,П.И. Багратион
Война и мир,Овчинников Вячеслав Александрович,1965 - 1968,,Музыка к кинофильмам,10.2,Отечественная война (1812),
Андрей Рублев,Овчинников Вячеслав Александрович,1969,,Музыка к кинофильмам,10.2,Древняя Русь,Андрей Рублев
Они сражались за родину,Овчинников Вячеслав Александрович,1975,,Музыка к кинофильмам,10.2,Великая Отечественая Война,
Солдатская походная,Овчинников Евгений Иванович,1957,Чепурнов,Романсы и песни,6.1,Вооруженные силы,походная
Баллада о солдате,Овчинников Евгений Иванович,1956,Шишко,Романсы и песни,6.1,Вооруженные силы,патриотическая
Жди меня,Овчинников Евгений Иванович,1942,Симонов Константин,Романсы и песни,6.1,Великая Отечественая Война,лирическая
Песня артиллеристов,Овчинников Евгений Иванович,1940,Солодарь Цезарь,Романсы и песни,6.1,Вооруженные силы,артиллерия
Песня 10-го десантного («Нам нужна одна победа»),Окуджава Булат Шалвович,1970,Окуджава Булат Шалвович,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Ленинградская музыка,Окуджава Булат Шалвович,1962,Окуджава Булат Шалвович,Романсы и песни,6.1,Города,Ленинград; Санкт-Петербург
Песенка об Арбате,Окуджава Булат Шалвович,1959,Окуджава Булат Шалвович,Романсы и песни,6.1,Города,Москва
"До свидания, мальчики",Окуджава Булат Шалвович,,Окуджава Булат Шалвович,Романсы и песни,6.1,Великая Отечественая Война,оборонная 
Король,Окуджава Булат Шалвович,1969,Окуджава Булат Шалвович,Романсы и песни,6.1,Великая Отечественая Война,память
О ВОВ,Окунев Герман Григорьевич,1946,Кежун Бронислав Адольфович; Рождественский Всеволод Александрович; Лебедев-Кумач Василий Иванович; Исаковский Михаил Васильевич,Романсы и песни,6.1,Великая Отечественая Война,
Баллада об Александре Матросове,Окунев Герман Григорьевич,1954,Ошанин Лев,Романсы и песни,6.1,Великая Отечественая Война,ГСС А.М. Матросов
Баллада о России,Олах Эмиль Ладиславович,1971,Дубровин Борис,Романсы и песни,6.1,Родина,Россия
Поле битвы,Оленин Александр Алексеевич,1920,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Древняя Русь,
Богатырский стан,Оленин Александр Алексеевич,1920,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Древняя Русь,богатыри
Русское трио,Оленин Александр Алексеевич,1930,,Сочинения для камерного ансамбля,5.1,Родина,Россия
Русский квинтет,Оленин Александр Алексеевич,1933,,Сочинения для камерного ансамбля,5.1,Родина,Россия
Кудеяр,Оленин Александр Алексеевич,1915,,Оперы,1.1,Древняя Русь,сказания
По Барабинским степям,Оленичева Аграфена Максимовна,1960,Оленичева Аграфена ,Романсы и песни,6.1,Регионы,Сибирь
"Эх, поля, да вы, поля",Оленичева Аграфена Максимовна,1960,Оленичева Аграфена ,Романсы и песни,6.1,Регионы,Сибирь
Все поля и долины,Оленичева Аграфена Максимовна,1960,Оленичева Аграфена ,Романсы и песни,6.1,Регионы,Сибирь
"За рекой, за горой",Оленичева Аграфена Максимовна,,Оленичева Аграфена ,Романсы и песни,6.1,Регионы,Сибирь
Белым снегом лес покрылся,Оленичева Аграфена Максимовна,,Оленичева Аграфена ,Романсы и песни,6.1,Регионы,Сибирь
"Как за лугом, за рекой",Оленичева Аграфена Максимовна,,Оленичева Аграфена ,Романсы и песни,6.1,Регионы,Сибирь
Ельничек-березничек,Оленичева Аграфена Максимовна,,Оленичева Аграфена ,Романсы и песни,6.1,Регионы,Сибирь
Зори над Волгой,Олесов Юрий Викторович,1976,Алферов Василий,Сюиты,7.2,Реки,Волга
Песня об Урале,Олесов Юрий Викторович,1947,Куштум Никоай,Прочие вокально-симфонические произведения,7.3,Регионы,Урал
Праздник Победы,Орлов Савелий Осипович,1945,Дехоти,Прочие вокально-симфонические произведения,7.3,Великая Отечественая Война,День Победы
Победа будет за нами,Орлов Савелий Осипович,1942,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Великая Отечественая Война,оборонная
Русское интермеццо,Орлов Савелий Осипович,1914,,Сочинения для фортепиано,5.2,Родина,Россия
На моей Родине,Орлов-Шузьм Аристарх Гаврилович,,Алга А.,Романсы и песни,6.1,Регионы,Чувашия
20 лет Чувашии,Орлов-Шузьм Аристарх Гаврилович,1940,Калган; Орлов-Шузьм,Кантаты,4.1,Регионы,Чувашия
Баллада о России,Орлов-Шузьм Аристарх Гаврилович,1977,Лукашин,Кантаты,4.1,Родина,Россия
Зимняя краса,Орлов-Шузьм Аристарх Гаврилович,,Тукташ Илья,Романсы и песни,6.1,Регионы,Чувашия
"«Москва, Москва» из музкомедии «Когда расцветает черемуха»",Орлов-Шузьм Аристарх Гаврилович,,,Романсы и песни,6.1,Родина,Москва
Хатынь,Орлов-Шузьм Аристарх Гаврилович,1976,,Прочие вокально-симфонические произведения,7.3,Великая Отечественая Война,Хатынь
Ермак,Осетрова-Яковлева Нина Александровна,1953,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Великая Отечественая Война,Ермак
Поэма о Волге,Осетрова-Яковлева Нина Александровна,1953,,Инструментальные произведения с оркестром,9.1,Реки,Волга
Русскому флоту слава!,Осетрова-Яковлева Нина Александровна,1976,,Инструментальные произведения с оркестром,9.1,Вооруженные силы,ВМФ
Утро нашей Родины,Осетрова-Яковлева Нина Александровна,1952,,Кантаты,4.1,Родина,Россия
Измаильская крепость,Осипов Александр Георгиевич,,Потолицын,Музыка к драматическим спектаклям,1.4,Гражданская война (1918-1922),
Родной Вычегде,Осипов Александр Георгиевич,,Попов,Романсы и песни,6.1,Реки,Вычегда
Моей Отчизне,Осипов Александр Георгиевич,,Щербаков,Романсы и песни,6.1,Родина,Россия
Гимн Канашского района,Осипов Александр Аркадьевич,2007,Кибеч ; Шевгень ,Романсы и песни,6.1,Регионы,Чувашия
Талдом,Основиков Александр Яковлевич,1975,Лаубе Феликс,Романсы и песни,6.1,Города,Талдом
Теплушки,Основиков Александр Яковлевич,1970,Лаубе Феликс,Романсы и песни,6.1,Великая Отечественая Война,ветераны
"Ничто не забыто, никто не забыт",Основиков Александр Яковлевич,1972,Харитонов Владимир,Романсы и песни,6.1,Великая Отечественая Война,ветераны
Московский вечер,Основиков Александр Яковлевич,1969,,Песни,11.1,Города,Москва
Давным-давно,Осокин Михаил Алексеевич,1943,Гладков А.,Музыка к драматическим спектаклям,1.4,Отечественная война (1812),Н.А. Дурова
Абхазская сюита,Осокин Михаил Алексеевич,1966,,Сюиты,2.3,Регионы,Абхазия
Москва любимая,Островский Аркадий (Авраам) Ильич,1955,Белинский Яков,Романсы и песни,6.1,Города,Москва
Я иду по Москве,Островский Аркадий (Авраам) Ильич,1956,Белинский Яков,Романсы и песни,6.1,Города,Москва
Молодежная сюита (Родная земля/Песня о Краснодонцах/Наш подарок новостройкам/Хорошо/Молодежная кадриль/Любим мы Отчизну дорогую) ,Островский Аркадий (Авраам) Ильич,1952,Белинский Яков,Хоры,4.3,Родина,СССР
Про солдатский ремень,Островский Аркадий (Авраам) Ильич,,Териков,Романсы и песни,6.1,,
"Алтай, Алтай",Островский Аркадий (Авраам) Ильич,,Гайкович Борис,Романсы и песни,6.1,Регионы,Алтай
Солдатская заграничная,Островский Аркадий (Авраам) Ильич,,Долматовский Евгений Аронович,Романсы и песни,6.1,,
Я - демобилизованный,Островский Аркадий (Авраам) Ильич,1945,Фрадкин,Романсы и песни,6.1,Вооруженные силы,
В Сибири далекой,Островский Аркадий (Авраам) Ильич,,Иодковский Эдмунд,Романсы и песни,6.1,Регионы,Сибирь; стройка
Песня о неизвестном солдате,Островский Аркадий (Авраам) Ильич,,Иодковский Эдмунд,Романсы и песни,6.1,Великая Отечественая Война,память
Парад на Красной площади,Островский Аркадий (Авраам) Ильич,1957,Некрасов,Романсы и песни,6.1,Вооруженные силы,Парад
Зори московские,Островский Аркадий (Авраам) Ильич,1957,Лисянский Марк,Романсы и песни,6.1,Города,Москва
Сторонка родная,Островский Аркадий (Авраам) Ильич,1945,Михалков Сергей,Романсы и песни,6.1,Родина,Россия
Мы за туманами идем,Островский Аркадий (Авраам) Ильич,1957,Ошанин Лев,Романсы и песни,6.1,Родина,ностальгическая
Время,Островский Аркадий (Авраам) Ильич,1967,Ошанин Лев,Романсы и песни,6.1,Родина,Россия; будущие поколения
Пусть всегда будет солнце,Островский Аркадий (Авраам) Ильич,1962,Ошанин Лев,Романсы и песни,6.1,Родина,Россия; будущие поколения
Песня космонавта,Островский Аркадий (Авраам) Ильич,,Ошанин Лев,Романсы и песни,6.1,Космос,Ю.А. Гагарин
Так нам сердце велело,Островский Аркадий (Авраам) Ильич,1958,Ошанин Лев,Романсы и песни,6.1,,
А у нас во дворе,Островский Аркадий (Авраам) Ильич,1962,Ошанин Лев,Романсы и песни,6.1,Родина,Родина
Далекий гарнизон,Островский Аркадий (Авраам) Ильич,1970,Полухин Юрий,Романсы и песни,6.1,Вооруженные силы,служба
Пылают степные закаты,Островский Аркадий (Авраам) Ильич,,Софронов Анатолий,Романсы и песни,6.1,,
Гадам нет пощады,Островский Аркадий (Авраам) Ильич,1942,Финк Илья,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Мальчишки,Островский Аркадий (Авраам) Ильич,1962,Шаферан Игорь,Романсы и песни,6.1,Родина,русский народ
Фантазия на темы песен ВОВ,Островский Аркадий (Авраам) Ильич,1944,,Песни,11.1,Великая Отечественая Война,
"Вернулся солдат из похода (Вернулся солдат из похода/Край родной/Ох, недаром сердце билось)",Островский Аркадий (Авраам) Ильич; Фрадкин Марк Григорьевич,1946,Софронов Анатолий,Романсы и песни,6.1,Великая Отечественая Война,возвращение после войны
Мордовская сюита,Павлов Георгий,,,Сочинения для камерного ансамбля,5.1,Регионы,Мордовия
"Здравствуй, Родина",Павлов Георгий,,,Кантаты,4.1,Родина,Россия
"Вперед, Красная Чувашия!",Павлов Федор,1930,,Марши,8.1,Вооруженные силы,
Красноармейская,Павлов Федор,,,Романсы и песни,6.1,Вооруженные силы,
Крещение Руси,Пальчун Владимир,1986,,Балеты,1.3,Древняя Русь,летописи
Малая земля,Пальчун Владимир,1978,,Оратории,4.2,Великая Отечественая Война,Родина
Россия ,Панин Виктор,1982,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Родина,Россия
Вологодская фантазия,Панин Виктор,1977,,Инструментальные произведения с оркестром,9.1,Города,Вологда
Русская рапсодия,Панин Виктор,1987,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Русская рапсодия,Панин Виктор,1985,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Серпуховские картины,Панин Виктор,1987,,Инструментальные произведения с оркестром,9.1,Города,Серпухов
Слово о ВОВ,Панин Виктор,1995,,Инструментальные произведения с оркестром,9.1,Великая Отечественая Война,
Ода Екатеринбургу,Пантыкин Александр,1998,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Города,Свердловск
